dlist,elist,genus_jw,se_jw,gender_switch
Acacia hindsii,Acacia hindsii,1.0,1.0,False
Acacia hakeoides,Acacia hakeoides,1.0,1.0,False
Acacia acanthoclada,Acacia acanthocarpa,1.0,0.977777777778,False
Acacia grandicornuta,Acacia grandicornuta,1.0,1.0,False
Acacia multispicata,Acacia multispicata,1.0,1.0,False
Acacia axillaris,Acacia axillaris,1.0,1.0,False
Acacia paradoxa,Acacia paradoxa,1.0,1.0,False
Acacia orites,Acacia orites,1.0,1.0,False
Acacia sekhukhuniensis,Acacia sekhukhuniensis,1.0,1.0,False
Acacia leptocarpa,Acacia leptoclada,1.0,0.946666666667,False
Acacia nuperrima,Acacia nuperrima,1.0,1.0,False
Acacia gracillima,Acacia gracilis,1.0,0.943333333333,False
Acacia shirleyi,Acacia shirleyi,1.0,1.0,False
Acacia fulva,Acacia fulva,1.0,1.0,False
Acacia richii,Acacia richii,1.0,1.0,False
Acacia translucens,Acacia translucens,1.0,1.0,False
Acacia alexandri,Acacia alexandri,1.0,1.0,False
Acacia longissima,Acacia longissima,1.0,1.0,False
Acacia beckleri,Acacia beckleri,1.0,1.0,False
Acacia ataxacantha,Acacia ataxacantha,1.0,1.0,False
Acacia longispinea,Acacia longispinea,1.0,1.0,False
Acacia luteola,Acacia luteola,1.0,1.0,False
Acacia stellaticeps,Acacia stellaticeps,1.0,1.0,False
Acacia bynoeana,Acacia bynoeana,1.0,1.0,False
Acacia cognata,Acacia cognata,1.0,1.0,False
Acacia lysiphloia,Acacia lysiphloia,1.0,1.0,False
Acacia quadrimarginea,Acacia quadrimarginea,1.0,1.0,False
Acacia glaucoptera,Acacia glaucoptera,1.0,1.0,False
Acacia mucronata,Acacia mucronata,1.0,1.0,False
Acacia mearnsi,Acacia mearnsii,1.0,0.9875,True
Acacia perangusta,Acacia perangusta,1.0,1.0,False
Acacia trinervia,Acacia trinervata,1.0,0.968888888889,False
Acacia trinervis,Acacia trinervata,1.0,0.947777777778,False
Acacia depauperata,Acacia depauperata,1.0,1.0,False
Acacia uncinata,Acacia uncinata,1.0,1.0,False
Acacia leptalea,Acacia leptalea,1.0,1.0,False
Acacia dangarensis,Acacia dangarensis,1.0,1.0,False
Acacia choriophylla,Acacia choriophylla,1.0,1.0,False
Acacia aulacocarpa,Acacia aulacocarpa,1.0,1.0,False
Acacia mearnsii,Acacia mearnsii,1.0,1.0,False
Acacia acuminata,Acacia acuminata,1.0,1.0,False
Acacia frigescens,Acacia frigescens,1.0,1.0,False
Acacia spinescens,Acacia spinescens,1.0,1.0,False
Acacia brachystachya,Acacia brachystachya,1.0,1.0,False
Acacia glaucocaesia,Acacia glaucocaesia,1.0,1.0,False
Acacia leptopetala,Acacia leptopetala,1.0,1.0,False
Acacia exuvialis,Acacia exuvialis,1.0,1.0,False
Acacia rhigiophylla,Acacia rhigiophylla,1.0,1.0,False
Acacia decora,Acacia decora,1.0,1.0,False
Acacia polyacantha,Acacia polyacantha,1.0,1.0,False
Acacia schottii,Acacia schottii,1.0,1.0,False
Acacia baileyana,Acacia baileyana,1.0,1.0,False
Acacia curranii,Acacia curranii,1.0,1.0,False
Acacia wilhelmiana,Acacia wilhelmiana,1.0,1.0,False
