"gbif","myco","genus_jw","se_jw","gswitch","bothtpl","suspect","remove","manual.remove"
"Hieracium glabratum","Hieracium glabrum",1,0.962962963,"False","TRUE","FALSE","FALSE",1
"Hieracium glaucum","Hieracium glaucinum",1,0.962962963,"False","TRUE","FALSE","FALSE",1
"Lepidium obtusatum","Lepidium obtusum",1,0.962962963,"False","TRUE","FALSE","FALSE",1
"Pandanus militaris","Pandanus limitaris",1,0.962962963,"False","TRUE","FALSE","FALSE",1
"Panicum scabridum","Panicum scabrum",1,0.962962963,"False","TRUE","FALSE","FALSE",1
"Polygonum scabridum","Polygonum scabrum",1,0.962962963,"False","FALSE","FALSE","FALSE",1
"Primula efarinosa","Primula farinosa",1,0.962962963,"False","TRUE","FALSE","FALSE",1
"Rosa balcarica","Rosa balcanica",1,0.962962963,"False","TRUE","FALSE","FALSE",1
"Salvia prostrata","Salvia rostrata",1,0.962962963,"False","FALSE","FALSE","FALSE",1
"Saxifraga foliosa","Saxifraga foliolosa",1,0.962962963,"False","FALSE","FALSE","FALSE",1
"Sisymbrium glabrum","Sisymbrium glabratum",1,0.962962963,"False","FALSE","FALSE","FALSE",1
"Taraxacum crocellum","Taraxacum croceum",1,0.962962963,"False","TRUE","FALSE","FALSE",1
"Astragalus psilopus","Astragalus psilopterus",1,0.9636363636,"False","FALSE","FALSE","FALSE",1
"Bromus gracillimus","Bromus gracilis",1,0.9636363636,"False","TRUE","FALSE","FALSE",1
"Carex chrysolepis","Carex chrysoleuca",1,0.9636363636,"False","TRUE","FALSE","FALSE",1
"Cyperus trigonellus","Cyperus trigonus",1,0.9636363636,"False","TRUE","FALSE","FALSE",1
"Dolichos hastiformis","Dolichos hastifolius",1,0.9636363636,"False","TRUE","FALSE","FALSE",1
"Eucalyptus brachycarpa","Eucalyptus brachycalyx",1,0.9636363636,"False","TRUE","FALSE","FALSE",1
"Eucalyptus lamprocalyx","Eucalyptus lamprocarpa",1,0.9636363636,"False","FALSE","FALSE","FALSE",1
"Euonymus gracillimus","Euonymus gracilis",1,0.9636363636,"False","TRUE","FALSE","FALSE",1
"Fuchsia macrostigma","Fuchsia macrostemma",1,0.9636363636,"False","TRUE","FALSE","FALSE",1
"Hieracium hyalinum","Hieracium hyalinellum",1,0.9636363636,"False","FALSE","FALSE","FALSE",1
"Hieracium phrygionium","Hieracium phrygium",1,0.9636363636,"False","FALSE","FALSE","FALSE",1
"Hieracium procerellum","Hieracium procerum",1,0.9636363636,"False","FALSE","FALSE","FALSE",1
"Juncus biglumoides","Juncus biglumis",1,0.9636363636,"False","TRUE","FALSE","FALSE",1
"Juncus loureiranus","Juncus loureiroana",1,0.9636363636,"False","FALSE","FALSE","FALSE",1
"Juncus gracillimus","Juncus gracilis",1,0.9636363636,"False","TRUE","FALSE","FALSE",1
"Panicum agrostoides","Panicum agrostis",1,0.9636363636,"False","TRUE","FALSE","FALSE",1
"Peschiera albiflora","Peschiera albidiflora",1,0.9636363636,"False","FALSE","FALSE","FALSE",1
"Polygonum acetosum","Polygonum acetosellum",1,0.9636363636,"False","TRUE","FALSE","FALSE",1
"Ranunculus albertsonii","Ranunculus albertii",1,0.9636363636,"False","FALSE","FALSE","FALSE",1
"Rosa granensis","Rosa granatensis",1,0.9636363636,"False","FALSE","FALSE","FALSE",1
"Rubus acutiformis","Rubus acutifolius",1,0.9636363636,"False","FALSE","FALSE","FALSE",1
"Senecio eruciformis","Senecio erucifolius",1,0.9636363636,"False","TRUE","FALSE","FALSE",1
"Clematis linearifolia","Clematis lineariloba",1,0.9642424242,"False","TRUE","FALSE","FALSE",1
"Potentilla angustiloba","Potentilla angustifolia",1,0.9642424242,"False","TRUE","FALSE","FALSE",1
"Deutzia glomeriflora","Deutzia glomeruliflora",1,0.9642857143,"False","FALSE","FALSE","FALSE",1
"Mimosa glanduliseta","Mimosa glandulosa",1,0.965,"False","TRUE","FALSE","FALSE",1
"Carex gracilior","Carex gracilis",1,0.9652777778,"False","TRUE","FALSE","FALSE",1
"Euphorbia gracilior","Euphorbia gracilis",1,0.9652777778,"False","TRUE","FALSE","FALSE",1
"Juniperus gracilior","Juniperus gracilis",1,0.9652777778,"False","TRUE","FALSE","FALSE",1
"Poa gracilior","Poa gracilis",1,0.9652777778,"False","TRUE","FALSE","FALSE",1
"Psychotria gracilior","Psychotria gracilis",1,0.9652777778,"False","TRUE","FALSE","FALSE",1
"Quercus gracilior","Quercus gracilis",1,0.9652777778,"False","TRUE","FALSE","FALSE",1
"Rubus gracilior","Rubus gracilis",1,0.9652777778,"False","FALSE","FALSE","FALSE",1
"Gentiana brachysepala","Gentiana brachypetala",1,0.9656565657,"False","TRUE","FALSE","FALSE",1
"Viola brachypetala","Viola brachysepala",1,0.9656565657,"False","TRUE","FALSE","FALSE",1
"Allium altissimum","Allium latissimum",1,0.9666666667,"False","TRUE","FALSE","FALSE",1
"Alyssum syriacum","Alyssum styriacum",1,0.9666666667,"False","TRUE","FALSE","FALSE",1
"Astragalus canosus","Astragalus carnosus",1,0.9666666667,"False","FALSE","FALSE","FALSE",1
"Astragalus brachycarpus","Astragalus brachypus",1,0.9666666667,"False","TRUE","FALSE","FALSE",1
"Astrantia alpina","Astrantia alpoina",1,0.9666666667,"False","TRUE","FALSE","FALSE",1
