dlist,elist,genus_jw,se_jw,gender_switch
Leiospermum racemosum,Leiospermum racemosum,1.0,1.0,False
Leontodon vulgaris,Leontodon vulgare,1.0,0.947619047619,True
Lepidium eremaeum,Lepidium eraemeum,1.0,0.95,False
Leptalix expansa,Leptalix expansa,1.0,1.0,False
Leucospermum album,Leucospermum album,1.0,1.0,False
Leucothoe salicifolia,Leucothoe salicifolia,1.0,1.0,False
Ligustrum chenaultii,Ligustrum chenaultii,1.0,1.0,False
Ligustrum simonii,Ligustrum simonii,1.0,1.0,False
Lilium rhodopeum,Lilium rhodopaeum,1.0,0.986666666667,False
Liparis terrestris,Liparis terrestris,1.0,1.0,False
Lippia caffra,Lippia caffra,1.0,1.0,False
Lithospermum euchromon,Lithospermum euchromon,1.0,1.0,False
Lobelia micrantha,Lobelia micrantha,1.0,1.0,False
Lobelia parvifolia,Lobelia parvifolia,1.0,1.0,False
Loranthus namaquensis,Loranthus namaquensis,1.0,1.0,False
Lupinus lucidus,Lupinus lucidulus,1.0,0.97037037037,False
Luzuriaga laxifolia,Luzuriaga laxiflora,1.0,0.94212962963,False
Maba ebenus,Maba ebenus,1.0,1.0,False
Maba papuana,Maba papuana,1.0,1.0,False
Machaerium mucronulatum,Machaerium mucronatum,1.0,0.957777777778,False
Maclura regia,Maclura regia,1.0,1.0,False
Macroscepis trianae,Macroscepis trianae,1.0,1.0,False
Mahernia erodioides,Mahernia erodioides,1.0,1.0,False
Maihuenia brachydelphys,Maihuenia brachydelphys,1.0,1.0,False
Malaxis mambulilingensis,Malaxis mambulilingensis,1.0,1.0,False
Malleola baliensis,Malleola baliensis,1.0,1.0,False
Malva punctata,Malva punctata,1.0,1.0,False
Malva setigera,Malva setigera,1.0,1.0,False
Malva subovata,Malva subovata,1.0,1.0,False
Marlea platanifolia,Marlea platanifolia,1.0,1.0,False
Marlea vitiensis,Marlea vitiensis,1.0,1.0,False
Marsilea microphylla,Marsilea microphylla,1.0,1.0,False
Matthiola elliptica,Matthiola elliptica,1.0,1.0,False
Maytenus sebertiana,Maytenus sebertiana,1.0,1.0,False
Maytenus pancheriana,Maytenus pancheriana,1.0,1.0,False
Maytenus hybanthifolia,Maytenus hybanthifolia,1.0,1.0,False
Meisneria paludosa,Meisneria paludosa,1.0,1.0,False
Melastoma arborescens,Melastoma arborescens,1.0,1.0,False
Melia sambucina,Melia sambucina,1.0,1.0,False
Melia parviflora,Melia parviflora,1.0,1.0,False
Melodinus tonkinensis,Melodinus tonkinensis,1.0,1.0,False
Mentha pumila,Mentha pumila,1.0,1.0,False
Menziesia daboeci,Menziesia daboecia,1.0,0.9875,False
Merremia pentaphylla,Merremia pentaphylla,1.0,1.0,False
Micropterum sessiliflorum,Micropterum sessiliflorum,1.0,1.0,False
Minuartia diomedis,Minuartia diomedis,1.0,1.0,False
Mischophloeus paniculata,Mischophloeus paniculatus,1.0,0.990606060606,True
Mitrastemon cochinchinensis,Mitrastemon cochinchinensis,1.0,1.0,False
